,movie_title,actor_name,actor_id
462,oceans,Pedro ArmendÃ¡riz Jr.,
463,a sound of thunder,David Oyelowo,35013.0
464,pompeii,Sasha Roiz,6071.0
465,top cat begins,Sariann Monaco,1968763.0
466,a beautiful mind,Adam Goldberg,6163.0
467,the lion king,Matthew Broderick,4756.0
468,journey 2: the mysterious island,Josh Hutcherson,27972.0
469,cloudy with a chance of meatballs 2,Will Forte,62831.0
470,red dragon,Philip Seymour Hoffman,1233.0
471,hidalgo,J.K. Simmons,18999.0
472,jack and jill,Al Pacino,1158.0
473,2 fast 2 furious,Paul Walker,8167.0
474,the little prince,Jeff Bridges,1229.0
475,the invasion,Roger Rees,16407.0
476,the adventures of rocky & bullwinkle,Robert De Niro,380.0
477,the secret life of pets,Steve Coogan,4581.0
478,the league of extraordinary gentlemen,Jason Flemyng,973.0
479,despicable me 2,Steve Carell,4495.0
480,independence day,Will Smith,2888.0
481,the lost world: jurassic park,Ariana Richards,4788.0
482,madagascar,Jada Pinkett Smith,9575.0
483,children of men,Charlie Hunnam,56365.0
484,x-men,Hugh Jackman,6968.0
485,wanted,Angelina Jolie Pitt,
486,the rock,Nicolas Cage,2963.0
487,ice age: the meltdown,Denis Leary,5724.0
488,50 first dates,Adam Sandler,19292.0
489,hairspray,Jerry Stiller,26042.0
490,exorcist: the beginning,James D'Arcy,19655.0
491,inspector gadget,Matthew Broderick,4756.0
492,now you see me,Morgan Freeman,192.0
493,grown ups,Steve Buscemi,884.0
494,the terminal,Tom Hanks,31.0
495,constantineÂ            ,Harold Perrineau,6195.0
496,hotel for dogs,Don Cheadle,1896.0
497,vertical limit,Nicholas Lea,42706.0
498,charlie wilson's war,Philip Seymour Hoffman,1233.0
499,shark tale,Robert De Niro,380.0
500,dreamgirls,Loretta Devine,18284.0
501,lifeÂ            ,Adam Arkin,55257.0
502,be cool,Dwayne Johnson,18918.0
503,munich,Ayelet Zurer,8786.0
504,tears of the sun,Bruce Willis,62.0
505,killers,Tom Selleck,15112.0
506,the man from u.n.c.l.e.,Henry Cavill,73968.0
507,spanglish,Adam Sandler,19292.0
508,monster house,Steve Buscemi,884.0
509,bandits,Bruce Willis,62.0
510,first knight,Julia Ormond,15887.0
511,anna and the king,Bai Ling,39126.0
512,immortals,Henry Cavill,73968.0
513,hostage,Jimmy Bennett,6860.0
514,titan a.e.,Matt Damon,1892.0
515,hollywood homicide,Harrison Ford,3.0
516,soldier,Connie Nielsen,935.0
517,carriers,Christopher Meloni,22227.0
518,monkeybone,Brendan Fraser,18269.0
519,flight of the phoenix,Dennis Quaid,6065.0
520,unbreakable,Robin Wright,32.0
521,minions,Steve Carell,4495.0
522,sucker punch,Jon Hamm,65717.0
523,snake eyes,Nicolas Cage,2963.0
524,sphere,Peter Coyote,9979.0
525,the angry birds movie,Peter Dinklage,22970.0
526,fool's gold,Matthew McConaughey,10297.0
527,funny people,Adam Sandler,19292.0
528,the kingdom,Jennifer Garner,9278.0
529,talladega nights: the ballad of ricky bobby,Will Ferrell,23659.0
530,dr. dolittle 2,Raven-SymonÃ©,
531,braveheart,Mhairi Calvey,2470.0
532,jarhead,Jake Gyllenhaal,131.0
533,the simpsons movie,Albert Brooks,13.0
534,the majestic,Martin Landau,2641.0
535,driven,Sylvester Stallone,16483.0
536,two brothers,David Gant,21431.0
537,the village,Bryce Dallas Howard,18997.0
538,doctor dolittle,Oliver Platt,17485.0
539,signs,Rory Culkin,28042.0
540,shrek 2,Rupert Everett,4757.0
541,cars,John Ratzenberger,7907.0
542,runaway bride,Julia Roberts,1204.0
543,xxx,Vin Diesel,12835.0
544,the spongebob movie: sponge out of water,Tim Conway,83414.0
545,ransom,Lili Taylor,3127.0
546,inglourious basterds,Michael Fassbender,17288.0
547,hook,Robin Williams,2157.0
548,hercules,Dwayne Johnson,18918.0
549,die hard 2,Bruce Willis,62.0
550,s.w.a.t.,Jeremy Renner,17604.0
551,sleepy hollowÂ            ,Nicole Beharie,87243.0
552,vanilla sky,Tom Cruise,500.0
553,lady in the water,Bryce Dallas Howard,18997.0
554,avp: alien vs. predator,Sanaa Lathan,5411.0
555,alvin and the chipmunks: the squeakquel,Amy Poehler,56322.0
556,we were soldiers,Jon Hamm,65717.0
557,olympus has fallen,Gerard Butler,17276.0
558,star trek: insurrection,LeVar Burton,2390.0
559,battle los angeles,Noel Fisher,80352.0
560,big fish,Steve Buscemi,884.0
561,wolf,David Hyde Pierce,11076.0
562,war horse,Jeremy Irvine,225692.0
563,the monuments men,Bill Murray,1532.0
564,the abyss,Michael Biehn,2712.0
565,wall street: money never sleeps,Frank Langella,8924.0
566,dracula untold,Dominic Cooper,55470.0
567,the siege,Denzel Washington,5292.0
568,stardust,Henry Cavill,73968.0
569,seven years in tibet,Brad Pitt,287.0
570,the dilemma,Channing Tatum,38673.0
571,bad company,Anthony Hopkins,4173.0
572,doom,Dwayne Johnson,18918.0
573,i spy,Gary Cole,21163.0
574,underworld: awakening,Theo James,587020.0
575,rock of ages,James Martin Kelly,162849.0
576,hart's war,Bruce Willis,62.0
577,killer elite,Jason Statham,976.0
578,rollerball,LL Cool J,36424.0
579,ballistic: ecks vs. sever,Talisa Soto,10680.0
580,hard rain,Morgan Freeman,192.0
581,osmosis jones,Ron Howard,6159.0
582,legends of oz: dorothy's return,Lea Michele,128206.0
583,blackhat,Chris Hemsworth,74568.0
584,sky captain and the world of tomorrow,Angelina Jolie Pitt,
585,basic instinct 2,Charlotte Rampling,44079.0
586,escape plan,Sylvester Stallone,16483.0
587,the legend of hercules,Roxanne McKee,228969.0
588,the sum of all fears,Morgan Freeman,192.0
589,the twilight saga: eclipse,Robert Pattinson,11288.0
590,the score,Robert De Niro,380.0
591,despicable me,Steve Carell,4495.0
592,money train,Vincent Pastore,47774.0
593,ted 2,Liam Neeson,3896.0
594,agora,Max Minghella,2978.0
595,mystery men,Janeane Garofalo,21197.0
596,hall pass,Jenna Fischer,51856.0
597,the insider,Al Pacino,1158.0
598,the finest hours,Michael Raymond-James,53259.0
599,body of lies,Leonardo DiCaprio,6193.0
600,dinner for schmucks,Steve Carell,4495.0
601,abraham lincoln: vampire hunter,Rufus Sewell,17328.0
602,entrapment,Will Patton,883.0
603,last man standingÂ            ,Hector Elizondo,1210.0
604,the x files,Martin Landau,2641.0
605,the last legion,Colin Firth,5472.0
606,saving private ryan,Tom Hanks,31.0
